place,latitude,longitude,1970,1980,1990,2000,2010
tottenville,40.50998,-74.2509,24272.00,36083.00,42319.00,50969.00,53403.00
woodrow,40.54358,-74.19456,24272.00,36083.00,42319.00,50969.00,53403.00
Great Kills,40.55374,-74.15168,24272.00,36083.00,42319.00,50969.00,53403.00
stapleton,40.62511,-74.0768,67938.00,69245.00,68903.00,81305.00,87878.00
port richmond,40.63332,-74.13655,67938.00,69245.00,68903.00,81305.00,87878.00
new springville,40.58511,-74.16707,42993.00,52564.00,56972.00,63536.00,66002.00
south beach,40.59122,-74.06712,42993.00,52564.00,56972.00,63536.00,66002.00
jamaica,40.70334,-73.80019,68880.00,63128.00,67098.00,74534.00,75306.00
st. albans,40.69646,-73.75958,68880.00,63128.00,67098.00,74534.00,75306.00
hollis,40.71431,-73.76657,68880.00,63128.00,67098.00,74534.00,75306.00
sunnyside,40.74522,-73.92113,47537.00,44464.00,47423.00,54960.00,56600.00
woodside,40.74152,-73.90632,47537.00,44464.00,47423.00,54960.00,56600.00
jackson heights,40.7512,-73.89026,61818.00,61045.00,64462.00,84542.00,85788.00
north corona,40.74372,-73.82203,61818.00,61045.00,64462.00,84542.00,85788.00
elmhurst,40.7394,-73.87791,54117.00,59215.00,68512.00,83503.00,86299.00
south corona,40.74372,-73.82203,54117.00,59215.00,68512.00,83503.00,86299.00
ridgewood,40.70051,-73.90017,53674.00,50047.00,49709.00,55304.00,56397.00
glandale,40.74372,-73.82203,53674.00,50047.00,49709.00,55304.00,56397.00
mespeth,40.74372,-73.82203,53674.00,50047.00,49709.00,55304.00,56397.00
bayside,40.76533,-73.77191,42628.00,36988.00,36019.00,38801.00,38810.00
douglaston,40.74468,-73.75807,42628.00,36988.00,36019.00,38801.00,38810.00
little neck,40.77192,-73.74697,42628.00,36988.00,36019.00,38801.00,38810.00
ozone park,40.68013,-73.84687,56929.00,52826.00,53884.00,63637.00,61198.00
howard beach,40.65863,-73.84362,56929.00,52826.00,53884.00,63637.00,61198.00
woodhaven,40.69266,-73.8565,55184.00,54753.00,56076.00,70804.00,71659.00
richmond hill,40.6997,-73.83455,55184.00,54753.00,56076.00,70804.00,71659.00
